PDE,Description,Supp Part No,EAN,Generic,Inventory Group,Document Display,Price GST Inc,Price GST Exc
213,Astrix Cap 100mg 28,213,9334820000041,Aspirin 100mg Cap,2,,2.95,2.68
302,Ego QV Crm 1Kg,11001,9314839011078,,2,,30.29,27.54
329,Betadine Antis Topical Soln 15ml,105595,9300655603047,Povidone Iodine Liq,2,,10.15,9.23
337,Victoza P/F Pen 6mg/ml 3ml x2,1169404,9324627001600,Liraglutide 6mg/ml Inj,6,,159.89,145.35
485,Faulding Zinc Supp Tab 60,1174195,9316100000040,,2,,11.39,10.35
507,Faulding Glucosmn & Chond Tab 60,1174204,9316100000507,,2,,19.26,17.51
515,Victoza P/F Pen 6mg/ml 3ml x3,1169403,9324627001617,Liraglutide 6mg/ml Inj,6,,239.71,217.92
574,Votrient Tab 400mg 60,733287,9319099862156,Pazopanib 400mg Tab,5,,4554.02,4140.02
671,Votrient Tab 200mg 90,733279,9319099862132,Pazopanib 200mg Tab,5,,3430.41,3118.55
1716,Bodichek Instant Cold Pk Med,13028101,9325334003086,Pack,2,,4.46,4.05
1791,Babylove Nappy Pants Wlkr 25 x3,BNPX25F3,9312818003595,,2,,57.63,52.39
1805,Babylove Nappy Pants Tdlr 28 x3,BNPL28A3,9312818003601,,2,,57.63,52.39
1856,Adren 1/1000 1ml Amp 5,8116,9331134001405,Adrenaline (epinephrine) 1:1000 Amp,6,,8.26,7.51
2046,White King Bleach Lem 1.25Ltr x6,13435,9333441000935,,2,,21.11,19.19
2100,Amlo Tab 10mg Blst 30,7002292,9350299000634,Amlodipine 10mg Tab,5,,2.98,2.71
2216,Minirin Melt Wafers 240mcg 30,32032230,7640128541943,Desmopressin 240mcg Wafer,5,,68.34,62.13
2224,Ostevit D Chld Oral Drps 15ml,5514,9313501055143,D3 400 Iu 15ml Liq,2,,9.6,8.73
2364,Rosuvastatin FC Tab 20mg Blst30 SNZ,44042544,9322838008357,Rosuvastatin 20mg Tab,5,,4.2,3.82
2429,Nivea Sun Lght Feel SPF30+ 200ml,85863,4005808141517,,2,,15.78,15.78
2488,Rosuvastatin FC Tab 40mg Blst30 SNZ,44042545,9322838008364,Rosuvastatin 40mg Tab,5,,5.72,5.2
2569,Nivea Visage D/Es DSens NCrm 50ml,84799,4005808996933,,2,,10.86,9.87
2577,Nivea Visage D/Es NmlCombo Crm 50ml,81203,4005800083242,,2,,10.86,9.87
2593,Pharmacor Gabapentin Tab 600mg 100,855160,9339218001303,Gabapentin 600mg Tab,5,,21.55,19.59
3360,Faulding NutriCare Van Flvr 720g,1174209,9316100003362,,2,,15.4,14
3514,Meropenem Ranbaxy Vial 500mg 5,1099862,8901296026489,Meropenem 500mg Vial,6,,58.98,53.62
3549,Meropenem Ranbaxy Vial 1g 5,1157838,8901296026496,Meropenem 1000mg Vial,6,,117.96,107.24
3603,Betadine Cold Sore Oint 7.5g,105592,9300655036036,Povidone Iodine Oint,2,,9.8,8.91
3735,Betaglucare Oat Hearts Sach 25g 28,9998,9314889699998,,2,,32.97,32.97
3743,Gaia Nat B/Wipes 20 x12,4695,9332059000443,,2,,24.66,22.42
3751,Sorbent T/Paper EThck HAlegc 12Pkx4,2342455,9310004111369,,2,,37.77,34.34
4022,Faulding Immune Combat Tab 100,1174193,9316100004024,,2,,15.4,14
4200,Wagner Magn Forte 400 Cap 200,WGS4097,9400581034097,,2,,29.55,26.86
4375,Magnoplasm 100g,4375,9334820000034,Magnes Sulfate Glycerol Oint,2,,19.77,17.97
4480,Kleenex Tiss AVera 140Pk x24,299,9310088002997,,2,,79.92,72.65
4529,Colg TPaste ProRlf M/Protect110gx12,BR01687D,9300632078431,,2,,77.97,70.88
4537,Colg Waxed Dental Floss 50m,1224909,9300632078745,,2,,3.15,2.86
4561,Paxyl Pmp Spry 125ml,5000225a,9300655045618,,2,,9.43,8.57
4634,A/Search Cmp Space Chamber AntiStat,1174231,9334258002136,,2,,12.62,12.62
4774,GRX Amoxycillin Susp 125mg/5ml     ,7722,9338475077229,Amoxicillin 125mg/5ml Susp,6,,0.77,0.7
4820,Pharmacor Finasteride Tab 5mg 30,855154,,Finasteride 5mg Tab,6,,7.69,6.99
4839,Ego Solveasy Tinea Crm 15g   Non S2,11537,9314839003332,,2,,8.8,8
5096,Betadine Antis Topical Soln 100ml,105597,9300655603030,Povidone Iodine Liq,2,,17.45,15.86
5169,A/Search Space Combo Pk,1174232,9334258002143,,2,,18.9,18.9
5185,Femolet Tab 2.5mg Blst 30,400008681,9323610018496,Letrozole 2.5mg Tab,5,,8.04,7.31
5681,Betadine Sore Thrt/Grgl 15ml,105593,9300655056812,Povidone Iodine 7.5% Liq,2,,10.93,9.94
5754,SCW Ex/Care Inst Vol Pwdr 10g,3027274,9310714212516,,2,,8.4,7.64
5770,Betadine F/Aid Crm 20g,105589,9300655057703,Povidone Iodine Crm,2,,10.08,9.16
5827,Faulding CoQ10 Cap 150mg 125,1174185,9316100005823,,2,,26.95,24.5
5916,Fenac Tab 25mg Blst 50,400008442,9323610007209,Diclofenac Sodium 25mg Tab,6,,2.96,2.69
5924,Betadine Antis Oint  25g,105583,9300655059240,Povidone Iodine Oint,2,,10.55,9.59
5975,Dicarz Tab 12.5mg Blst 60,400008347,9323610006905,Carvedilol 12.5mg Tab,5,,5.97,5.43
5991,Zedace Tab   50mg Blst 90,400008342,9323610006219,Captopril 50mg Tab,6,,19.37,17.61
6041,Brilinta Tab 90mg 56,7004786,9322882011358,Ticagrelor 90mg Tab,5,,95.32,86.65
6521,Travatan EDrps 0.004% 2.5ml ,102090,9319099862729,Travoprost 0.004% Drps,5,,21.45,19.5
6696,Le Tan CConut SPF30+ Spry 250ml,5255,9300703052551,,2,,12.26,12.26
6777,Arazil Tab 5mg Blst 28,400003368,9323610017024,Donepezil 5mg Tab,5,,5.49,4.99
6815,Elmore Oil Crm 100gm,ELMCR100,9336232000688,,2,,15.55,14.14
6823,Arazil Tab 10mg Blst 28,400003363,9323610016263,Donepezil 10mg Tab,5,,5.49,4.99
6831,SP Instant Cold Reusable HotCold Pk,6301-,9313776063010,,2,,5.48,4.98
6858,SP Clay HotCold Pk Med 15x30cm,6303-,9313776063034,,2,,10.27,9.34
